Dia;Precipitaciones;Precipitaciones (hora);Evapotransporacion (diaria) [mm];Evapotransporacion (hora) [mm]
104;0;0.0000;0.86;0.0358
105;0;0.0000;0.88;0.0367
106;0;0.0000;0.8;0.0333
107;0;0.0000;0.5;0.0208
108;0.2;0.0083;0.59;0.0246
109;0;0.0000;0.74;0.0308
110;0;0.0000;1.51;0.0629
111;0;0.0000;1.3;0.0542
112;0;0.0000;1.46;0.0608
113;0.1;0.0042;1.32;0.0550
114;0.2;0.0083;0.78;0.0325
115;2.6;0.1083;0.74;0.0308
116;28;1.1667;0.5;0.0208
117;0;0.0000;1.04;0.0433
118;0;0.0000;1.61;0.0671
119;0;0.0000;0.98;0.0408
120;0;0.0000;1.72;0.0717
121;0;0.0000;1.36;0.0567
122;0;0.0000;1.25;0.0521
123;0;0.0000;1.18;0.0492
124;0;0.0000;1.06;0.0442
125;0;0.0000;0.52;0.0217
126;0.3;0.0125;0.58;0.0242
127;0;0.0000;0.47;0.0196
128;0;0.0000;0.68;0.0283
129;0;0.0000;1.29;0.0538
130;0;0.0000;0.84;0.0350
131;0.1;0.0042;0.53;0.0221
132;0;0.0000;0.66;0.0275
133;0;0.0000;1;0.0417
134;0;0.0000;0.68;0.0283
135;0;0.0000;0.9;0.0375
136;0;0.0000;0.54;0.0225
137;0;0.0000;0.49;0.0204
138;0;0.0000;0.83;0.0346
139;0;0.0000;0.85;0.0354
140;0.1;0.0042;0.82;0.0342
141;0;0.0000;1.57;0.0654
142;0;0.0000;1.03;0.0429
143;0;0.0000;0.75;0.0313
144;0;0.0000;0.8;0.0333
145;0;0.0000;1.06;0.0442
146;0;0.0000;0.79;0.0329
147;0;0.0000;0.69;0.0288
148;0;0.0000;0.67;0.0279
149;0;0.0000;0.92;0.0383
150;0;0.0000;1.19;0.0496
151;0;0.0000;0.92;0.0383
152;0;0.0000;0.69;0.0288
153;3.2;0.1333;1.03;0.0429
154;21.9;0.9125;0.97;0.0404
155;1.4;0.0583;0.89;0.0371
156;0;0.0000;0.94;0.0392
157;0;0.0000;0.83;0.0346
158;0.1;0.0042;0.95;0.0396
159;0;0.0000;0.63;0.0263
160;0;0.0000;1.1;0.0458
161;0.1;0.0042;0.69;0.0288
162;0.1;0.0042;0.47;0.0196
163;0;0.0000;0.54;0.0225
164;0;0.0000;0.53;0.0221
165;0.1;0.0042;0.73;0.0304
166;0;0.0000;0.75;0.0313
167;0;0.0000;0.79;0.0329
168;0;0.0000;1.25;0.0521
169;0;0.0000;1.21;0.0504
170;0;0.0000;0.56;0.0233
171;0;0.0000;0.61;0.0254
172;0.9;0.0375;1.17;0.0488
173;33.7;1.4042;1.32;0.0550
174;2.4;0.1000;1.04;0.0433
175;0;0.0000;0.65;0.0271
176;0;0.0000;0.79;0.0329
177;0.1;0.0042;0.8;0.0333
178;9;0.3750;0.92;0.0383
179;0;0.0000;1.16;0.0483
180;0;0.0000;1.43;0.0596
181;18.3;0.7625;0.82;0.0342
182;9.5;0.3958;0.67;0.0279
183;0;0.0000;0.73;0.0304
184;0;0.0000;0.71;0.0296
185;0.1;0.0042;1.09;0.0454
186;0;0.0000;0.92;0.0383
187;4.9;0.2042;0.59;0.0246
188;0;0.0000;1;0.0417
189;0.7;0.0292;0.76;0.0317
190;37.3;1.5542;0.75;0.0313
191;20.2;0.8417;0.43;0.0179
192;2.6;0.1083;0.67;0.0279
193;0;0.0000;1.08;0.0450
194;30.3;1.2625;0.86;0.0358
195;24.6;1.0250;0.86;0.0358
196;14.1;0.5875;0.47;0.0196
197;0;0.0000;0.74;0.0308
198;0;0.0000;1.08;0.0450
199;0;0.0000;1.33;0.0554
200;0.1;0.0042;1.05;0.0438
201;0.1;0.0042;1.06;0.0442
202;0;0.0000;0.72;0.0300
203;0;0.0000;0.83;0.0346
204;0.4;0.0167;0.53;0.0221
